CNO,SEX,GPA,CLASS,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0110/0619,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,C,X
P0110/0620,M,3.3,MERIT,X,X,,,X,X,X,X,,X,X,+,,,D,B,B,X,X,X
P0110/0621,M,1.3,PASS,X,X,,,X,X,X,X,,X,X,X,,,F,C,E,X,C,X
P0110/0622,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,D,X,B,X
P0110/0623,M,0.0,FAIL,X,E,,,X,X,E,X,,X,X,X,,,X,X,X,X,X,E
P0110/0624,M,3.0,MERIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,C,X,B,X
P0110/0625,M,1.7,CREDIT,X,X,,,X,X,X,X,,X,X,D,,,E,C,C,X,X,X
P0110/0626,M,0.7,PASS,X,X,,,X,X,X,X,,X,X,D,,,F,X,E,X,D,X
P0110/0627,M,4.0,DISTINCTION,X,X,,,X,X,X,X,,X,X,+,,,D,X,+,X,+,X
P0110/0628,M,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,D,D,C,X,X,X
P0110/0629,M,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,C,X
P0110/0630,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,C,C,X,B,X
P0110/0631,M,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,X,B,X,C,X
P0110/0632,M,0.0,FAIL,X,X,,,X,X,X,X,,X,X,X,,,F,F,F,X,E,X
P0110/0633,M,2.7,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,D,C,B,X,B,X
P0110/0634,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0635,M,3.0,MERIT,X,X,,,X,X,X,X,,X,X,X,,,D,B,B,X,B,X
P0110/0636,M,1.3,PASS,X,X,,,X,X,X,X,,X,X,X,,,E,D,D,X,C,X
P0110/0637,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0638,M,0.3,FAIL,X,X,,,X,X,X,X,,X,X,X,,,F,E,E,X,D,X
P0110/0639,M,1.0,PASS,X,X,,,F,D,E,X,,X,X,X,,,F,C,X,X,X,X
P0110/0640,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,F,C,C,X,X,X
P0110/0641,M,1.7,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,F,D,C,X,C,X
P0110/0642,M,1.0,PASS,X,X,,,X,X,X,X,,X,X,D,,,E,X,D,X,D,X
P0110/0643,M,3.0,MERIT,X,X,,,X,X,X,X,,X,X,X,,,E,B,B,X,B,X
P0110/0644,M,-,FAIL,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,D
P0110/0645,M,3.0,MERIT,X,X,,,X,X,X,X,,X,X,X,,,E,B,B,X,B,X
P0110/0646,M,3.3,MERIT,X,X,,,X,X,X,X,,X,X,+,,,D,B,B,X,X,X
P0110/0647,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,C,,,D,X,B,X,C,X
P0110/0648,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,C,X
P0110/0649,M,0.3,FAIL,X,E,,,X,X,D,X,,X,X,X,,,E,X,X,X,X,E
P0110/0650,M,3.0,MERIT,X,X,,,X,X,X,X,,B,X,+,,,D,X,C,X,B,X
P0110/0651,M,3.3,MERIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,B,X,B,X
P0110/0652,M,2.3,CREDIT,X,X,,,X,X,X,X,,X,X,+,,,E,X,D,X,C,X
P0110/0653,M,1.0,PASS,X,X,,,X,X,X,X,,X,X,X,,,F,C,E,X,D,X
P0110/0654,M,2.0,CREDIT,X,X,,,X,X,X,X,,X,X,B,,,E,D,C,X,X,X
P0110/0655,M,0.3,FAIL,X,F,,,X,X,X,X,,X,E,X,,,F,D,X,X,X,X
P0110/0656,M,1.3,PASS,X,E,,,X,X,X,X,,X,C,X,,,E,C,X,X,X,X
